Date,AAPL,MSFT,AMZN,GOOGL,META,TSLA,JPM,JNJ,V,PG,XOM,KO,INTC,PFE,CSCO,T,WMT,CVX,CRM,NFLX,NVDA,MA,DIS,BAC,ADBE,NKE,MCD,LLY,TXN,BMY,UNH,QCOM,MDT,IBM,AMGN,LOW,CAT,BA,HON,SBUX,GILD,BLK,BKNG,SPGI,SYK,VRTX,TLT,IEF,SHY,LQD,HYG,BND,GLD,SLV,USO,DBC,XLK,XLF,XLE,XLV,XLY,XLP,XLI,XLU,XLB,XLRE,UUP,FXE,FXY,FXB,BTC-USD,ETH-USD,SPY
2015-01-02,24.288583755493164,39.99870300292969,15.425999641418455,26.31965446472168,78.02196502685547,14.620667457580566,46.94808197021485,78.01261901855469,61.57062911987305,66.98350524902344,58.967132568359375,30.222612380981445,27.896459579467773,19.01799774169922,19.935266494750977,11.78335666656494,23.32090950012207,71.78398895263672,58.72541427612305,49.84857177734375,0.4830655455589294,80.21141815185547,85.94351196289062,14.3568696975708,72.33999633789062,41.86211395263672,71.49815368652344,57.68754959106445,39.911041259765625,42.36838150024414,85.58505249023438,54.92337417602539,55.505008697509766,99.33113098144533,118.21834564208984,55.76594543457031,69.51953125,113.65721130371094,76.90443420410156,33.11234664916992,66.83531188964844,273.82373046875,1127.7618408203125,79.88629150390625,83.1705093383789,123.06999969482422,96.51288604736328,85.25833129882812,70.78700256347656,83.46509552001953,51.24190521240234,61.37839126586914,114.08000183105467,15.109999656677246,159.1199951171875,15.931045532226562,36.3150634765625,16.469655990600586,52.310997009277344,57.79949951171875,63.63810348510742,36.60609817504883,46.69209289550781,33.728065490722656,39.377742767333984,,20.90714454650879,113.01103973388672,80.72000122070312,139.40194702148438,315.0320129394531,,171.0936737060547
2015-01-05,23.60433387756348,39.630889892578125,15.10949993133545,25.818159103393555,76.76884460449219,14.005999565124512,45.49058151245117,77.46773529052734,60.2115364074707,66.66502380371094,57.35368347167969,30.222612380981445,27.581897735595703,18.91480827331543,19.53814697265625,11.67202377319336,23.25303840637207,68.9146728515625,57.66470718383789,47.31142807006836,0.4749064445495605,77.95525360107422,84.68757629394531,13.939799308776855,71.9800033569336,41.18813705444336,70.70850372314453,57.119415283203125,39.2916259765625,41.70626831054688,84.1753158569336,54.66460037231445,55.27335357666016,97.76817321777344,116.81350708007812,54.4315299987793,65.849853515625,112.87006378173828,75.43893432617188,32.47806930541992,68.1592025756836,266.7389221191406,1083.838623046875,78.47164154052734,81.88742065429688,121.02999877929688,98.02896118164062,85.77850341796875,70.78700256347656,83.80640411376953,50.7672119140625,61.55661392211914,115.8000030517578,15.5,150.32000732421875,15.703832626342772,35.76069641113281,16.123355865478516,50.14699172973633,57.504730224609375,62.42094421386719,36.34869003295898,45.60141372680664,33.31569290161133,38.37408447265625,,20.950342178344727,112.37999725341795,81.30999755859375,138.67068481445312,274.4739990234375,,168.00376892089844
2015-01-06,23.606557846069336,39.04920196533203,14.76449966430664,25.180980682373047,75.7345199584961,14.085332870483398,44.3110580444336,77.08711242675781,59.823543548583984,66.36137390136719,57.04876708984375,30.452123641967773,27.067853927612305,19.072633743286133,19.53092384338379,11.689420700073242,23.43221664428711,68.8828125,56.7031364440918,46.50143051147461,0.4605080485343933,77.7867202758789,84.23839569091797,13.522727012634276,70.52999877929688,40.94584655761719,70.83887481689453,57.40761566162109,38.64236831665039,41.63505172729492,84.00547790527344,53.88821029663086,54.99536895751953,95.65969848632812,113.05012512207033,54.555084228515625,65.42613983154297,111.54063415527344,75.26245880126953,32.21378707885742,68.76480102539062,262.5938720703125,1066.439208984375,77.33633422851562,81.77235412597656,117.36000061035156,99.795166015625,86.35478973388672,70.82048034667969,84.14771270751953,50.5727767944336,61.73485565185547,117.12000274658205,15.829999923706056,144.39999389648438,15.555272102355955,35.32951736450195,15.876937866210938,49.41032028198242,57.311031341552734,61.79903793334961,36.30326461791992,45.03955841064453,33.3370361328125,38.03413391113281,,20.993539810180664,112.01669311523438,82.11000061035156,137.7358856201172,286.1889953613281,,166.42135620117188
2015-01-07,23.93756866455078,39.54533386230469,14.92099952697754,25.10692596435547,75.7345199584961,14.063332557678224,44.37866973876953,78.7888412475586,60.62506103515625,66.70947265625,57.6268310546875,30.832237243652344,27.635608673095703,19.333642959594727,19.7114315032959,11.757576942443848,24.053932189941406,68.82540130615234,56.43548202514648,46.74285888671875,0.4593082070350647,78.99673461914062,85.10012817382812,13.586894989013672,71.11000061035156,41.7916374206543,72.07315063476562,57.00414276123047,39.3364143371582,42.17616271972656,84.86321258544922,54.516700744628906,56.36986923217773,95.0345230102539,116.99835968017578,56.17781448364258,66.44003295898438,113.27238464355467,75.8072280883789,33.006622314453125,70.05348205566406,268.1512756347656,1056.1793212890625,78.36351013183594,83.32093811035156,120.66000366210938,99.59810638427734,86.33879852294922,70.85396575927734,84.25914001464844,50.8873176574707,61.7719841003418,116.43000030517578,15.850000381469728,146.9600067138672,15.459144592285156,35.62871170043945,16.04343032836914,49.51553726196289,58.658538818359375,62.77632522583008,36.92409896850586,45.37832260131836,33.6640739440918,38.46311950683594,,21.07129096984864,111.37610626220705,81.66000366210938,137.32862854003906,294.3370056152344,,168.49517822265625
2015-01-08,24.8572998046875,40.708683013916016,15.02299976348877,25.19440078735352,77.7534408569336,14.041333198547363,45.37037658691406,79.40837097167969,61.43821716308594,67.47233581542969,58.58600234985352,31.20516014099121,28.149646759033203,19.728214263916016,19.86306953430176,11.874547004699709,24.56162071228028,70.40033721923828,58.0810661315918,47.77999877929688,0.4765862822532654,80.22547149658203,85.98018646240234,13.867616653442385,72.91999816894531,42.7563591003418,72.34146881103516,58.35452651977539,39.97822189331055,43.22983932495117,88.91403198242188,55.09345626831055,57.7211799621582,97.10009765625,116.5768814086914,57.36397933959961,67.12098693847656,115.27525329589844,77.1883544921875,33.53925704956055,72.03929901123047,271.28302001953125,1069.2930908203125,79.06632995605469,84.73674774169922,123.97000122070312,98.2790985107422,85.9865951538086,70.84557342529297,83.98751068115234,51.27049255371094,61.6754150390625,115.94000244140624,15.640000343322754,148.39999389648438,15.52031707763672,36.411865234375,16.283185958862305,50.62715148925781,59.6607551574707,63.718040466308594,37.484352111816406,46.287227630615234,33.898681640625,39.377742767333984,,21.15768241882324,110.98407745361328,81.31999969482422,137.10650634765625,283.3489990234375,,171.48516845703125
2015-01-09,24.88396644592285,40.36652374267578,14.846500396728516,24.88674545288086,77.31584167480469,13.77733325958252,44.58151626586914,78.32609558105469,60.52749633789063,66.8427734375,58.503414154052734,30.860923767089844,28.203346252441406,19.81926918029785,20.065231323242188,11.839098930358888,24.25754737854004,68.99754333496094,57.65480041503906,47.04142761230469,0.4785061180591583,79.20308685302734,86.40188598632812,13.618977546691896,71.83999633789062,42.28500747680664,71.45985412597656,57.58052062988281,40.00059509277344,42.9450569152832,88.08174896240234,55.026885986328125,57.45094299316406,97.52301788330078,115.14250183105467,56.2849006652832,66.31898498535156,115.04788208007812,75.906982421875,32.44146728515625,71.97593688964844,268.0668640136719,1038.7896728515625,78.39054107666016,83.71026611328125,122.20999908447266,99.3555145263672,86.41082000732422,70.90420532226562,84.21037292480469,51.527828216552734,61.77939987182617,117.26000213623048,15.770000457763672,146.24000549316406,15.494099617004396,36.29745864868164,16.06340980529785,50.22592926025391,59.130157470703125,62.98067092895508,37.1815071105957,45.79145812988281,33.68540954589844,39.1754035949707,,21.062652587890625,111.49081420898438,82.06999969482422,137.8469696044922,290.4079895019531,,170.11093139648438
2015-01-12,24.27080345153809,39.86182022094727,14.570500373840332,24.7048397064209,76.30140686035156,13.480667114257812,44.1983642578125,78.0573959350586,60.40901565551758,66.59835052490234,57.37908554077149,30.581222534179688,28.08059501647949,19.8921127319336,20.252954483032227,11.871005058288574,24.439453125,67.51190185546875,57.22853469848633,45.547142028808594,0.4725067317485809,78.1900634765625,86.59439849853516,13.378357887268066,71.12000274658203,42.22775268554688,71.30650329589844,57.16059875488281,39.642372131347656,44.2692985534668,87.0881576538086,54.39838790893555,57.50497817993164,95.88651275634766,115.5048370361328,55.88951873779297,65.7439193725586,114.4618682861328,75.53871154785156,32.62037658691406,71.271728515625,266.3013610839844,1026.9598388671875,77.27326965332031,83.197021484375,118.30999755859376,99.92400360107422,86.7149429321289,70.94607543945312,84.37059783935547,51.46493148803711,61.86110305786133,118.55999755859376,15.869999885559082,139.27999877929688,15.15328311920166,35.87510681152344,15.930215835571287,48.77887344360352,59.15542221069336,62.64305877685547,37.06794357299805,45.47748565673828,33.607200622558594,39.08636474609375,,21.062652587890625,111.41434478759766,82.22000122070312,137.9302520751953,267.7959899902344,,168.7783203125
2015-01-13,24.486305236816406,39.65653610229492,14.737000465393066,24.9404239654541,76.03288269042969,13.616666793823242,44.20586395263672,78.19174194335938,60.585567474365234,66.87981414794922,57.16948318481445,30.574033737182617,28.00387382507324,19.691789627075195,20.2890625,11.871005058288574,24.24668502807617,66.44066619873047,57.46644973754883,46.25571441650391,0.4717868566513061,78.36827087402344,87.26361083984375,13.193882942199709,70.58999633789062,41.85332107543945,71.16851043701172,57.12764739990234,39.39609909057617,44.93853759765625,87.52977752685547,53.95475769042969,56.20769119262695,96.11325073242188,114.70628356933594,55.89775085449219,65.35050201416016,114.72423553466795,76.07577514648438,32.88059616088867,68.4549560546875,267.1074523925781,1024.826904296875,81.89557647705078,83.37401580810547,120.5999984741211,99.92400360107422,86.79496002197266,70.98794555664062,84.44721221923828,51.46493148803711,61.92049789428711,118.16000366210938,16.290000915527344,140.9600067138672,15.092110633850098,35.84870529174805,15.876937866210938,48.39079284667969,58.89435958862305,62.64305877685547,37.06039047241211,45.3865852355957,33.699607849121094,38.64927291870117,,21.12312889099121,110.79285430908205,82.55999755859375,137.8284454345703,225.86099243164065,,168.30357360839844
2015-01-14,24.39299774169922,39.31437301635742,14.66349983215332,25.14569091796875,75.86380767822266,12.845999717712402,42.68074798583984,77.62449645996094,59.372833251953125,66.65020751953125,57.00432205200195,30.523839950561523,27.888792037963867,19.7160758972168,20.15909004211425,11.814288139343262,23.51366424560547,66.24940490722656,56.75270080566406,46.31999969482422,0.4737066030502319,78.28387451171875,86.38353729248047,12.86504364013672,69.98999786376953,41.2806510925293,70.17951202392578,57.440555572509766,39.3364143371582,44.81751251220703,87.75057220458984,53.40019607543945,55.42005157470703,95.49420166015624,114.7210464477539,55.51060485839844,65.12348937988281,114.03330993652344,75.72280883789062,32.6976203918457,69.89856719970703,265.39556884765625,1022.7039794921876,80.10250854492188,82.51568603515625,120.37999725341795,100.68207550048828,87.19508361816406,71.02980041503906,84.593505859375,51.344852447509766,62.06157684326172,117.97000122070312,16.1299991607666,146.16000366210938,15.25814723968506,35.64630508422852,15.650506973266602,48.54207992553711,58.80173110961914,61.88790130615234,36.94681167602539,45.138702392578125,33.99112701416016,38.19601440429688,,21.07993125915528,110.9649658203125,82.97000122070312,138.48562622070312,178.10299682617188,,167.2875518798828
2015-01-15,23.73095703125,38.903785705566406,14.34749984741211,25.050264358520508,73.64598846435547,12.791333198547363,41.31340026855469,76.4974365234375,58.80829620361328,66.55392456054688,56.50884246826172,30.39474296569824,27.76602554321289,19.66751289367676,19.790864944458008,11.789477348327637,23.72271156311035,65.4651107788086,54.631290435791016,46.25143051147461,0.4703469276428222,77.14887237548828,86.49356079101562,12.191307067871094,70.29000091552734,40.88418197631836,70.0568618774414,57.4240837097168,39.09760284423828,43.87772750854492,88.71022033691406,52.77910614013672,55.52044677734375,94.74030303955078,112.32551574707033,54.6539306640625,64.322509765625,113.82339477539062,74.51052856445312,32.35609436035156,68.58875274658203,262.8625793457031,985.7522583007812,79.55287170410156,80.96712493896484,117.77999877929688,102.2664031982422,87.93937683105469,71.138671875,85.03231048583984,51.03028869628906,62.33635330200195,120.94000244140624,16.149999618530273,139.60000610351562,15.048412322998049,35.188743591308594,15.457379341125488,47.92378616333008,58.17008590698242,61.088287353515625,37.00738906860352,44.92387771606445,34.261268615722656,38.123165130615234,,21.149044036865234,109.37787628173828,83.63999938964844,137.93954467773438,209.843994140625,,165.75506591796875
